Gene	SRR2467141	SRR2467142	SRR2467143	SRR2467144	SRR2467145	SRR2467146	SRR2467147	SRR2467148	SRR2467149	SRR2467150	SRR2467151
YDR018C	0.8535660412014979	0.8392490947821156	0.8308419684130421	0.7936145939644469	0.8783278655729567	0.8679559729611784	0.7724329019330936	0.8398666167005169	0.8308419684130421	0.8015314364428036	0.8101424438522529
YDR019C	2.3420430098654794	2.0630666974781064	2.0401251807843512	2.1187806482908575	2.2205257277849424	2.2430111390716405	2.074732157837718	2.1341307785371875	2.1684283873600028	1.8643132594125924	2.7755286011714513
YDR020C	1.0576353981476179	1.0580618255299008	1.0707193970409632	1.172512432878456	0.9763639974313733	0.9669516944078411	1.3342080694258494	1.0791447002806396	1.0546348727167467	1.0919721622893062	1.0406208039883702
YDR021W	0.9392624711748039	1.084521568926953	1.14376341605448	1.29283240430856	0.9034148287159447	0.9244033039065715	1.5143540165091292	1.051490722332748	0.999908545429432	1.1451846328294015	0.9878761455248936
YDR022C	1.0329997610471742	0.9618558634359636	1.004514712070876	0.9449535518257974	0.997873050563714	1.024215257993692	0.9623333631246525	0.9700684658945986	1.0116284524620207	0.9855151007667677	0.9500749346079107
YDR023W	5.829255191392853	5.994391235518298	5.887129146400355	6.220510705316173	5.651358697031413	5.807278918415465	6.41573750131383	5.930064350653287	5.852973332697623	6.060283028770828	5.8812847249855835
YDR024W	0.5903219836185399	0.608878087870256	0.6843268114687806	0.6679328224002313	0.49777900713456935	0.6516913562099393	0.6110788483184973	0.6798872843417263	0.6731399533981315	0.6302573071871842	0.6282870540334032
YDR025W	5.939567988901661	6.447279231992917	6.588215039164706	7.538814871725129	5.872943687130077	5.9061188668878	7.600756038901974	6.197412307563516	6.045619567726437	6.663710832433891	6.998942911766678
YDR026C	1.9167715490965702	1.9503098182662952	1.9464297857833288	1.8582246046504713	1.832534075851374	1.819419620075291	1.9375207843240907	1.9464297857833288	1.942661987200443	1.9694239310818704	1.8064314128599759
YDR027C	1.996986790881541	1.8847819517784292	1.873870147159618	1.8368294709885897	2.227381427117833	2.0414391117571187	1.7306458406861647	1.9450616677313404	2.0031792404932505	1.8787349477803277	2.021570099372748
YDR028C	3.161770939471084	3.231698142581575	3.108644470709719	3.166095650319499	3.3786125433699237	3.2929327541440774	2.7859890834411933	3.3154259110045925	3.2701065747428215	3.2882701276883326	3.3786125433699237
YDR029W	0.3211191195346914	0.3250119806994465	0.10833521771768795	0.10791060996537619	0.0936400747039121	0.4106227773354757	0.11771471889837985	0.094500771256062	0.2623066801881083	0.0932034663690275	0.34076539758214686
YDR030C	0.9158907000741368	0.9239046053222219	0.9673427926724056	0.9599188841366383	0.8755715131463493	0.8758192971028678	0.9995669385657704	0.9441383209186205	0.9001965288365456	0.9745556094863334	0.8744615318332807
YDR031W	0.9081025717262254	0.8750300310984873	0.876825330330889	0.8846969180050994	0.929686486637006	0.9307799761728526	0.896880253932235	0.8953965829102831	0.9172485395278134	0.8753024548802321	0.9001965288365456
