	14251X1	14251X3	14251X4	14251X7	14251X9	14251X10	14251X13	14251X15	14251X16	14251X19	14251X21	14251X22
YDR062W	215.1475991	214.4312959	208.0441859	212.5436145	214.0529737	194.8821803	201.1180054	221.6557292	176.5163559	189.5681914	233.4559269	163.4262843
YDR063W	277.5202124	355.6353614	273.3735901	293.5017111	309.3997443	280.8483981	282.3750348	323.711277	338.0687164	343.3503706	313.3017357	341.2414013
YDR064W	417.9213535	609.1036791	410.8394798	399.5085484	438.3310969	408.8233545	403.9656171	603.2528805	501.5618965	574.7975588	460.4836541	619.4717739
YDR065W	117.8651298	105.447118	113.3162765	126.1009086	111.1167065	111.3068879	125.9782562	106.8247625	109.6785009	120.1869878	107.6249146	93.48818235
YDR066C	199.322796	187.781237	214.6030008	213.8365607	218.362371	208.1938888	218.16934	174.8413754	232.0714369	221.4073795	173.7577778	239.0448478
YDR067C	225.3214215	259.4905766	209.0529232	228.293117	243.8273705	219.3140371	238.2239032	239.8022026	266.1085809	245.5316702	256.9181151	266.6022968
YDR068W	243.3663737	307.8578748	234.7802614	263.962156	274.0327072	258.2434454	256.3941158	265.7895165	287.902148	309.4851457	263.182987	319.6793174
YDR069C	130.6765203	114.2876717	97.50376341	138.9564184	119.7262418	98.74691745	138.9671847	103.4950371	90.45216323	113.7894546	118.5825843	84.53343594
YDR070C	232.0213475	306.2839593	295.1335387	290.8318957	223.7924076	291.7403629	279.2624748	245.8592509	427.5574943	291.7620104	226.2152072	538.7839402
YDR071C	356.5525791	417.1295827	337.4447185	356.3541108	374.3354931	335.0871373	342.7507179	404.6921321	418.6568721	428.4474036	379.6979301	439.8937896
YDR072C	286.8271873	240.220782	278.2472222	265.6361698	271.7718757	281.1513931	262.3847256	248.310135	214.3885598	242.1497744	280.7341953	217.1849107
YDR073W	197.6433517	186.2323477	187.9914867	189.9084098	192.5409324	195.7641717	199.8854421	190.1585478	232.0972944	193.5319146	188.7506316	238.55393
YDR074W	276.1793034	307.9149242	243.9751339	273.7640653	291.1061861	225.0329252	281.9355711	266.8854988	220.5692844	271.7796703	251.5301692	189.315572
YDR075W	186.5087934	138.7892737	181.9859842	178.5891133	162.0352518	186.5635082	186.4482154	156.4025012	219.7731289	178.4890199	154.8743394	188.685457
YDR076W	69.46137346	62.60667558	68.49031941	63.67036462	74.60703054	61.51571434	81.22679984	62.99053503	70.8064767	69.60114521	67.32232803	60.37822064
YDR077W	359.7728878	458.6671843	364.5727279	352.723259	373.1873602	354.4306246	362.3099767	386.9846942	394.0653485	468.5411382	353.2760866	400.8814215
YDR078C	131.8839369	137.2311246	121.6980654	137.2058608	138.7610974	109.786192	146.7795144	140.4510883	167.0914345	151.5882706	142.05482	151.0124898
YDR079C-A	145.8624187	168.2572919	134.4127886	143.1199066	176.2640967	150.4252796	170.6461021	157.4137801	214.1808388	197.9069088	152.6757411	206.383736
YDR079W	203.3856261	206.1408137	206.3690829	217.1537635	203.3613343	208.6202481	212.6143201	207.0881869	256.520653	242.1942879	205.6868527	291.4789195
YDR080W	92.9803062	109.0853707	92.93509263	104.5358565	119.3342564	87.88751739	114.367591	100.5439186	81.81718519	96.36406344	103.9049596	62.21309564
YDR081C	145.9134374	123.7807756	143.3119725	144.5352231	147.1786122	135.7288203	144.1678803	130.3190393	108.7058651	133.1721603	144.2498661	102.4532678
YDR082W	151.7314744	145.7422622	158.9933997	162.3173628	167.507269	177.5953106	171.8043336	149.63755	198.2163096	162.6261011	153.9122454	189.9993744
YDR083W	223.9307047	252.4239027	247.3599396	234.6663611	260.5471531	261.6423281	224.792134	268.7593944	264.6161289	238.3244936	262.0188749	260.5449843
YDR084C	224.0414981	208.3078103	195.8393779	212.5468009	224.6387356	206.7802617	215.6626082	219.4659591	228.5077728	216.1896767	212.6662852	208.0459894
YDR085C	233.0979433	197.6454881	197.0172036	250.5711465	172.803744	199.4015957	231.0884624	157.501496	203.3051675	245.2422195	173.2462038	207.3790021
YDR086C	240.0652308	330.1502419	233.1032595	237.5475033	267.7297451	247.6760317	238.6658771	320.0294524	289.8783221	324.5813664	274.3737956	327.1937278
YDR087C	316.5192973	341.520167	329.4683238	321.24259	357.16352	353.6797629	318.8723964	387.7100924	357.8418333	324.3329425	370.2636384	366.8957578
YDR088C	249.4937107	217.9745596	236.9578826	275.8446811	224.0388053	252.2502584	255.4493435	209.9417301	254.200024	272.5100039	204.8848709	244.3274312
