Gene	SRR4018567	SRR4018568	SRR4018569	SRR4018570	SRR4018571	SRR4018572	SRR4018573	SRR4018574	SRR4018575	SRR4018576	SRR4018577	SRR4018578
YAL045C	0.35172570487440197	0.4184863890541406	0.30345544897274235	0.10580408065644367	0.1159231208648187	0.5117030417349546	0.2675841852279284	0.42828812503704794	0.0659724896685954	0.4318143100194289	0.4707279028120907	0.25400500543870513
YAL046C	1.0841553687857353	1.0834313330097662	1.0946528483688078	1.0849470554988228	1.132416915120358	1.060253286938782	1.0218508712514476	1.1041032970240994	1.0488956462385468	1.0830074364225044	1.131186467983868	1.1069309435609456
YAL047C	1.0297661020960756	1.0412287005935252	1.0387790240030372	1.0622461213374534	1.0059643077239924	1.0789248223624046	1.0791447002806396	1.0922987534420003	1.0620092410591986	1.0247625142408519	1.0996957199841142	1.1015373725244124
YAL047W-A	0.534658418147706	0.4546950173921709	0.5240515001488368	0.3844484752166766	0.33123604247506555	0.5080717561627147	0.3232919052029098	0.410186117658609	0.30853219322205705	0.5261006204665526	0.5407250289877419	0.39824484643036984
YAL048C	1.0887523054004926	1.055859905525443	1.0325945402944576	1.109564579676147	1.1571934542594546	1.1341751650139495	1.069885010543426	1.0908391509811406	1.0282964025478067	1.0103234001552348	1.030026619376221	1.0677653408088337
YAL049C	1.6817012663617692	1.5838127337337453	1.6479573749011989	1.6735134186880158	1.697355042357071	1.6307211385257054	1.759238094070108	1.743370541958786	1.8168572078861807	1.902123068983286	1.887442807241368	1.869830691987898
YAL051W	1.6752598400550192	1.6370965307301923	1.6166161101325447	1.5632385245107407	1.6161404640229575	1.5843981020246845	1.582506676160898	1.5222263822240674	1.548731520113193	1.589611933849501	1.578257940289192	1.543550238161289
YAL053W	2.7761587750330166	2.7423287943743855	2.6649890618193126	2.6095724627231514	2.6270003011324707	2.4659200820482274	3.4396204990464385	3.4960976330688256	3.38719812323345	3.563030937970518	3.5418982207119694	3.334607934936575
YAL054C	0.9148508810212981	0.8912353540904218	0.8922610650053697	0.9133907831800575	0.9236220570059148	0.9239046053222219	0.9229124758316769	0.9345590653476046	0.9307799761728526	0.9001965288365456	0.9256615853977057	0.920437583989988
YAL055W	1.0628284310445402	1.048005586328106	1.0431403711123535	1.0003873928574711	0.9902882212053408	1.0276566606172621	1.085710986645849	1.075520357254512	1.069885010543426	1.1927554597312895	1.1351582270425664	1.0709884450646425
YAL056C-A	0.23135405751180582	0.26276487995542747	0.094500771256062	0.10580408065644367	0.3936960310382049	0.09534603529946473	0.06638952523995305	0.24105053985819402	0.2834626217739799	0.36381034393528616	0.07225061366584558	0.08356300254105213
YAL056W	1.7002683125472409	1.7190112690213155	1.6416775829896846	1.6203605587636052	1.703317480230945	1.8070324634335824	1.747802617367464	1.8004370876656635	1.7761611641592552	1.9375207843240907	1.8070324634335824	1.8884953637831412
YAL058W	1.4186520388248665	1.4949791725122104	1.485980253088073	1.4315064601750018	1.4469538694385147	1.4147959445803224	1.2563396650688226	1.2874361532876812	1.3444698879882682	1.289611131726206	1.4250927742907336	1.3475180051346685
YAL059C-A	0.3289218734151451	0.3578651581409735	0.39523216798960126	0.48511880657482453	0.44709301438078825	0.534658418147706	0.2910593819793166	0.46605496690945786	0.5298961015676911	0.33678970631092847	0.5293844683206794	0.39523216798960126
