	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3
HER1	7.31039	7.30297	7.87937	9.46303	9.6685	9.69284
PLB2	8.25858	7.2317	7.19542	13.7639	15.3487	15.8579
YEH1	7.50544	6.92161	7.17809	14.7691	17.6393	15.755
MRPS17	13.1089	10.9479	11.4707	4.59828	4.99133	5.17853
HER2	11.4697	9.91669	11.2595	5.03048	5.79813	5.10905
YBL010C	9.73753	9.76854	9.64395	8.15024	8.58956	8.35676
YMR114C	5.76592	5.70184	6.48558	10.3712	9.6672	10.834
CCE1	9.76482	9.8725	11.2323	5.07286	4.55752	5.31762
DAL2	12.1139	12.0279	10.6223	4.58706	5.3482	5.93473
SAG1	0.113044	0.655935	0.462795	6.7043	8.57625	6.51699
CAT5	12.7325	11.2248	11.7698	7.07061	7.49755	7.23707
CIT3	1.22536	1.1812	1.21673	3.7396	4.15533	4.76334
ADH6	9.54467	10.1017	9.95857	12.4905	12.1837	11.9359
MDL2	9.84447	8.53733	9.51704	4.05836	4.97594	4.19131
MRM1	9.73443	8.27923	9.39084	3.78363	4.54981	3.81548
MDH2	7.07879	6.66002	6.53978	3.6778	4.23134	3.38036
ATP12	10.9193	10.8808	11.974	6.98246	7.42176	6.63093
POR2	7.75025	6.00678	7.32993	12.2083	12.8143	12.6918
GYP7	7.7651	7.76734	7.88994	9.21758	9.10604	9.58658
ATH1	6.04023	6.43697	6.99982	10.0334	11.0735	10.8354
HEF3	0.36626	0.257096	0.298175	1.70449	1.68725	2.15368
PHR1	7.80084	7.73466	8.25731	11.3556	12.528	11.5791
MRPL35	10.9836	10.0763	10.5837	6.16949	7.1289	6.17559
NPC2	6.22618	7.07989	5.62752	12.4773	11.3471	11.4489
YKL133C	8.96249	9.33128	10.2851	5.50063	5.27814	5.68847
AKR2	7.98539	7.87891	8.04208	10.4494	11.2281	10.3745
YIM1	8.62078	8.86584	9.30636	10.9385	11.2503	11.2627
CYC1	11.5055	13.683	11.0851	3.97176	4.37698	3.89717
"ARG5,6"	3.65095	3.30179	3.54331	1.55623	1.93119	1.99423
MRS3	10.0421	8.82445	9.80225	4.94425	3.57533	4.27753
PET100	10.4904	10.2554	9.33642	4.67895	4.28423	5.62375
DOG1	12.9066	10.4021	12.8267	4.10633	3.42693	3.93441
FOL3	7.77004	7.62507	7.80168	10.5403	10.1215	11.1243
HAP1	7.47511	6.718	7.4721	11.3346	12.8598	12.1781
YAP6	5.72515	6.27295	4.6503	11.4367	10.8077	10.4615
MRPL9	11.9041	10.2658	11.3327	5.03857	6.14726	5.13424
DIF1	6.97589	5.62109	6.52803	12.8282	14.9796	13.2996
YPT35	7.36717	7.33472	8.10908	11.0037	12.0818	11.3634
UFD4	8.37088	8.68279	9.02903	10.5288	10.5367	10.4877
NPR3	8.27005	8.45832	8.69746	9.82676	9.67207	9.87003
UGA2	6.9735	7.02637	6.81197	11.9763	11.3958	13.252
CMC1	10.2332	10.1878	11.6181	4.9412	4.3393	5.62492
AFG1	9.48207	10.5329	11.2337	5.45392	5.21356	5.64054
TPP1	9.48512	8.98937	9.31159	11.4454	11.9928	12.2444
1-Oct	8.85521	10.0398	10.1941	5.28718	4.30099	4.92647
MSR1	10.0088	9.23526	10.0207	6.73627	7.22106	6.87133
FBP1	3.02976	4.01377	4.00295	0.479089	0.610742	0.262026
MRPS16	13.4038	10.7793	11.6187	4.24028	4.42756	4.79158
AIM13	10.8365	11.0645	13.0721	5.09476	4.57088	4.38596
PEX34	7.09528	7.59329	7.09092	9.9803	9.34038	9.93433
ALD3	4.91601	5.84928	7.27399	13.065	14.5303	14.7282
AIM10	9.59739	9.93678	10.8012	6.0543	5.79264	6.56421
MRPL19	11.1033	11.0334	12.1558	4.73546	6.26405	4.43478
CIR2	10.4634	9.63171	10.0143	6.81215	7.43318	7.31707
ULP1	9.10492	8.76342	8.78992	10.3051	10.1993	10.5857
RGS2	8.46548	8.40824	8.92111	6.38797	6.69328	6.0887
TIM22	10.7966	9.92502	10.4206	6.50534	6.83471	7.45009
AIM46	8.1634	7.57035	8.8832	4.10531	4.66209	4.44906
